token	corpus size	all contexts size	frequency	co-frequency	specificity
такое	36950	13043	94	64	10.13
Что	36950	13043	66	47	8.62
мучает	36950	13043	23	21	7.48
является	36950	13043	74	49	7.35
человека	36950	13043	217	112	6.53
[Что	36950	13043	14	14	6.33
человеку	36950	13043	83	51	6.14
образом	36950	13043	33	25	5.68
угрызения	36950	13043	12	12	5.43
[Зачем	36950	13043	12	12	5.43
нужна	36950	13043	30	22	4.70
следует	36950	13043	25	19	4.48
чистую	36950	13043	9	9	4.07
говорит	36950	13043	53	32	3.94
совершенно	36950	13043	14	12	3.85
Таким	36950	13043	14	12	3.85
О	36950	13043	27	19	3.76
объясняет	36950	13043	8	8	3.62
очищает	36950	13043	8	8	3.62
свидетельствует	36950	13043	13	11	3.46
одна	36950	13043	15	12	3.34
Павел	36950	13043	19	14	3.21
называется	36950	13043	23	16	3.17
убеждает	36950	13043	7	7	3.17
поступили	36950	13043	7	7	3.17
процесс	36950	13043	7	7	3.17
человеке	36950	13043	28	18	2.91
Наконец	36950	13043	9	8	2.85
чистая	36950	13043	9	8	2.85
чиста	36950	13043	9	8	2.85
уподобил	36950	13043	6	6	2.71
непосредственно	36950	13043	6	6	2.71
Через	36950	13043	6	6	2.71
мучения	36950	13043	6	6	2.71
элемент	36950	13043	6	6	2.71
вызывает	36950	13043	6	6	2.71
апостол	36950	13043	6	6	2.71
личной	36950	13043	6	6	2.71
будто	36950	13043	6	6	2.71
Личная	36950	13043	6	6	2.71
Коллективная	36950	13043	6	6	2.71
возможность	36950	13043	11	9	2.71
чистой	36950	13043	11	9	2.71
чувства	36950	13043	38	22	2.63
существует	36950	13043	15	11	2.60
находится	36950	13043	8	7	2.45
написано	36950	13043	8	7	2.45
ума	36950	13043	8	7	2.45
считает	36950	13043	8	7	2.45
сердцах	36950	13043	12	9	2.30
каждого	36950	13043	12	9	2.30
мысли	36950	13043	18	12	2.29
тех	36950	13043	14	10	2.28
обвиняют	36950	13043	5	5	2.26
вере	36950	13043	5	5	2.26
инстинктов	36950	13043	5	5	2.26
мертвых	36950	13043	5	5	2.26
радости	36950	13043	5	5	2.26
рассматривается	36950	13043	5	5	2.26
понятиями	36950	13043	5	5	2.26
Угрызения	36950	13043	5	5	2.26
Природа	36950	13043	5	5	2.26
Является	36950	13043	5	5	2.26
Как	36950	13043	57	29	2.23
голос	36950	13043	60	30	2.17
необходимо	36950	13043	7	6	2.06
обличает	36950	13043	7	6	2.06
пробудить	36950	13043	7	6	2.06
теория	36950	13043	7	6	2.06
жизни	36950	13043	54	27	2.03
указывает	36950	13043	17	11	2.02
духа	36950	13043	17	11	2.02
Человек	36950	13043	15	10	1.99
голосом	36950	13043	9	7	1.99
чувств	36950	13043	9	7	1.99
Итак	36950	13043	9	7	1.99
проявлений	36950	13043	9	7	1.99
иметь	36950	13043	11	8	1.97
Однако	36950	13043	22	13	1.88
называть	36950	13043	4	4	1.81
наблюдение	36950	13043	4	4	1.81
наличием	36950	13043	4	4	1.81
физических	36950	13043	4	4	1.81
обнаруживают	36950	13043	4	4	1.81
физические	36950	13043	4	4	1.81
инстинкты	36950	13043	4	4	1.81
диктовали	36950	13043	4	4	1.81
совершенствоваться	36950	13043	4	4	1.81
чуткости	36950	13043	4	4	1.81
философских	36950	13043	4	4	1.81
учений	36950	13043	4	4	1.81
психологических	36950	13043	4	4	1.81
характер	36950	13043	4	4	1.81
греховности	36950	13043	4	4	1.81
религиозной	36950	13043	4	4	1.81
определяется	36950	13043	4	4	1.81
почек»	36950	13043	4	4	1.81
честь	36950	13043	4	4	1.81
, —	36950	13043	4	4	1.81
функции	36950	13043	4	4	1.81
человеческая	36950	13043	4	4	1.81
бомбу	36950	13043	4	4	1.81
сожженной	36950	13043	4	4	1.81
считал	36950	13043	4	4	1.81
берется	36950	13043	4	4	1.81
кричит	36950	13043	4	4	1.81
обвиняющие	36950	13043	4	4	1.81
оправдывающие	36950	13043	4	4	1.81
Чистая	36950	13043	4	4	1.81
говоря	36950	13043	4	4	1.81
Храни	36950	13043	4	4	1.81
роль	36950	13043	18	11	1.80
больше	36950	13043	16	10	1.75
начинает	36950	13043	14	9	1.71
действительно	36950	13043	12	8	1.68
разум	36950	13043	12	8	1.68
Для	36950	13043	12	8	1.68
внутренней	36950	13043	6	5	1.67
следовательно	36950	13043	6	5	1.67
правильного	36950	13043	6	5	1.67
причём	36950	13043	6	5	1.67
главным	36950	13043	6	5	1.67
компас	36950	13043	6	5	1.67
говорил	36950	13043	6	5	1.67
такая	36950	13043	6	5	1.67
Согласно	36950	13043	6	5	1.67
та	36950	13043	6	5	1.67
Можно	36950	13043	6	5	1.67
отметить	36950	13043	6	5	1.67
Если	36950	13043	63	29	1.66
Есть	36950	13043	10	7	1.65
нашу	36950	13043	8	6	1.64
Богом	36950	13043	26	14	1.62
развития	36950	13043	19	11	1.61
понятие	36950	13043	19	11	1.61
ее	36950	13043	75	33	1.56
словами	36950	13043	17	10	1.56
еще	36950	13043	22	12	1.51
выше	36950	13043	15	9	1.51
человеческого	36950	13043	13	8	1.45
голосу	36950	13043	11	7	1.40
нашего	36950	13043	11	7	1.40
сделать	36950	13043	11	7	1.40
сознание	36950	13043	18	10	1.39
воспитания	36950	13043	23	12	1.38
часто	36950	13043	23	12	1.38
Нагорной	36950	13043	3	3	1.36
проповеди	36950	13043	3	3	1.36
Иисус	36950	13043	3	3	1.36
примириться	36950	13043	3	3	1.36
называемый	36950	13043	3	3	1.36
помимо	36950	13043	3	3	1.36
другую»	36950	13043	3	3	1.36
свидетельству	36950	13043	3	3	1.36
засвидетельствует	36950	13043	3	3	1.36
добродетельную	36950	13043	3	3	1.36
,омраченный	36950	13043	3	3	1.36
страстями	36950	13043	3	3	1.36
перестал	36950	13043	3	3	1.36
отчетливо	36950	13043	3	3	1.36
утратили	36950	13043	3	3	1.36
проявлением	36950	13043	3	3	1.36
Внимательное	36950	13043	3	3	1.36
силами	36950	13043	3	3	1.36
воздействует	36950	13043	3	3	1.36
доводов	36950	13043	3	3	1.36
действуя	36950	13043	3	3	1.36
стоящей	36950	13043	3	3	1.36
грешному	36950	13043	3	3	1.36
запятнавшему	36950	13043	3	3	1.36
навеки	36950	13043	3	3	1.36
обреченным	36950	13043	3	3	1.36
слезы	36950	13043	3	3	1.36
показатель	36950	13043	3	3	1.36
безусловный	36950	13043	3	3	1.36
рассматриваться	36950	13043	3	3	1.36
выделить	36950	13043	3	3	1.36
непреложный	36950	13043	3	3	1.36
указатель	36950	13043	3	3	1.36
церкви	36950	13043	3	3	1.36
наклонностями	36950	13043	3	3	1.36
Фома	36950	13043	3	3	1.36
силлогизмом	36950	13043	3	3	1.36
компасу	36950	13043	3	3	1.36
живущий	36950	13043	3	3	1.36
пожалуй	36950	13043	3	3	1.36
Развитие	36950	13043	3	3	1.36
взросления	36950	13043	3	3	1.36
Какие	36950	13043	3	3	1.36
Владимир	36950	13043	3	3	1.36
использует	36950	13043	3	3	1.36
описывал	36950	13043	3	3	1.36
гласом	36950	13043	3	3	1.36
Социальная	36950	13043	3	3	1.36
общественная	36950	13043	3	3	1.36
сбросивший	36950	13043	3	3	1.36
социальными	36950	13043	3	3	1.36
возвращается	36950	13043	3	3	1.36
Суперэго	36950	13043	3	3	1.36
частично	36950	13043	3	3	1.36
мозге	36950	13043	3	3	1.36
хранении	36950	13043	3	3	1.36
чистоты	36950	13043	3	3	1.36
разбудить	36950	13043	3	3	1.36
заговорила	36950	13043	3	3	1.36
спокойной	36950	13043	3	3	1.36
признак	36950	13043	3	3	1.36
порочной	36950	13043	3	3	1.36
другую”	36950	13043	3	3	1.36
“от	36950	13043	3	3	1.36
дел”	36950	13043	3	3	1.36
Муки	36950	13043	3	3	1.36
отцы	36950	13043	3	3	1.36
эгоизмом	36950	13043	3	3	1.36
удовлетворять	36950	13043	3	3	1.36
попирая	36950	13043	3	3	1.36
пытается	36950	13043	3	3	1.36
очевидно	36950	13043	3	3	1.36
нечистой	36950	13043	3	3	1.36
Формирование	36950	13043	3	3	1.36
сохранять	36950	13043	3	3	1.36
судьей	36950	13043	3	3	1.36
При	36950	13043	3	3	1.36
важный	36950	13043	3	3	1.36
присущи	36950	13043	3	3	1.36
отношениях	36950	13043	3	3	1.36
личная	36950	13043	3	3	1.36
библейской	36950	13043	3	3	1.36
укоры	36950	13043	3	3	1.36
пробудилась	36950	13043	3	3	1.36
]Если	36950	13043	3	3	1.36
думаю	36950	13043	3	3	1.36
хранить	36950	13043	3	3	1.36
чрезмерно	36950	13043	3	3	1.36
грехопадения	36950	13043	9	6	1.36
умом	36950	13043	9	6	1.36
первый	36950	13043	9	6	1.36
играет	36950	13043	9	6	1.36
внутреннее	36950	13043	9	6	1.36
испытывать	36950	13043	9	6	1.36
можем	36950	13043	16	9	1.34
действия	36950	13043	26	13	1.32
становится	36950	13043	26	13	1.32
Не	36950	13043	21	11	1.32
Кто	36950	13043	7	5	1.32
выражает	36950	13043	7	5	1.32
практическим	36950	13043	7	5	1.32
муки	36950	13043	7	5	1.32
лукавая	36950	13043	7	5	1.32
Ибо	36950	13043	7	5	1.32
вообще	36950	13043	7	5	1.32
Христос	36950	13043	5	4	1.30
Наличие	36950	13043	5	4	1.30
Библия	36950	13043	5	4	1.30
оправдывают	36950	13043	5	4	1.30
выгодно	36950	13043	5	4	1.30
временной	36950	13043	5	4	1.30
высшая	36950	13043	5	4	1.30
ясности	36950	13043	5	4	1.30
ошибаться	36950	13043	5	4	1.30
внутренних	36950	13043	5	4	1.30
существуют	36950	13043	5	4	1.30
начала	36950	13043	5	4	1.30
божественный	36950	13043	5	4	1.30
согласно	36950	13043	5	4	1.30
направление	36950	13043	5	4	1.30
«муки	36950	13043	5	4	1.30
очистить	36950	13043	5	4	1.30
Такой	36950	13043	5	4	1.30
попирает	36950	13043	5	4	1.30
наличие	36950	13043	5	4	1.30
избавиться	36950	13043	5	4	1.30
сознании	36950	13043	5	4	1.30
воли	36950	13043	14	8	1.28
стороны	36950	13043	12	7	1.21
ошибки	36950	13043	12	7	1.21
несколько	36950	13043	12	7	1.21
другими	36950	13043	17	9	1.20
формируется	36950	13043	17	9	1.20
ребенка	36950	13043	17	9	1.20
всегда	36950	13043	33	15	1.17
человек	36950	13043	144	51	1.16
Писании	36950	13043	10	6	1.15
против	36950	13043	10	6	1.15
те	36950	13043	10	6	1.15
Когда	36950	13043	28	13	1.14
лишь	36950	13043	15	8	1.13
вины	36950	13043	23	11	1.11
Божий	36950	13043	34	15	1.11
личности	36950	13043	26	12	1.09
свойство	36950	13043	8	5	1.08
Божиим	36950	13043	8	5	1.08
